---config@码表分类=主码-次显码表
---config@码表别名= 隐藏全码
历	liil
厘	liil
哩	likl
例	lird
砾	liul
离	liwd
璃	liwd
栗	lixm
览	ljle
缆	ljse
岭	lkes
龄	lkvs
令	lkrs
零	lkys
羚	lkys
莨	llcl
梁	lldm
粱	lldm
俩	llrl
亮	llwj
谅	llyx
帘	lmbj
练	lmsd
连	lmzi
疗	lnbl
洛	lodk
骡	lomx
列	lpdd
咧	lpkd
碌	lquu
硫	lquv
窿	lsbu
龙	lsud
胧	lsol
芦	luch
赂	lukk
卢	lulu
绿	lusu
碌	luuu
录	luvu
簏	luvb
露	luyk
虑	lvhx
铝	lvjk
蕾	lwct
勒	lwgl
伦	lyrb
漏	lzdy
娄	lzmn
林	lbmm
乐	lcpd
潦	lndx
辚	lbil
铼	ldjl
嘞	lekl
莨	lhcl
锂	lijl
郦	lile
鹂	liln
枥	liml
骊	liml
俚	lirl
蠡	livi
逦	lizl
漤	ljdn
褴	ljpm
泠	lkds
呤	lkks
囹	lkks
魉	llgl
殓	lmda
雒	lowf
躐	lpzv
骝	lqmt
镏	lqjt
鸾	lrwn
泸	ludu
轳	luiu
橹	lumo
垆	lutu
嘞	lwkl
偻	lzrn
瞵	lbol
楞	lgmf
鬣	lpav
轹	liil
墚	lltm
鹨	lqxn
𬭸	lbjl
𬴊	lbml
𬍛	liwl
郿	mwve
靺	mogm
鹲	mgcn
蟊	mcsi
瘼	mobd
鄚	mcce
渼	mwdd
愐	mmxm
藦	mocu
醾	miym
庙	mngy
吗	makm
嘛	makm
马	mava
貌	mcve
萌	mgco
锰	mgjm
茫	mhcw
米	midm
弥	migx
眯	miom
谜	miyz
铭	mkjk
名	mkxk
丏	mmav
免	mmdv
眠	mmom
寞	mobd
蘑	mocu
漠	modd
没	mody
磨	mogu
摩	mogu
姆	munm
魅	mwgw
枚	mwmw
媒	mwnm
每	mwpm
玫	mwww
霉	mwym
忙	mhxw
秒	mnhu
蝥	mcsi
荬	mdcd
艨	mgvu
麋	migm
幔	mjjy
缦	mjsy
沔	mmdm
沔	mmdv
眄	mmov
眄	mmom
耱	molu
嬷	monm
苜	muco
淼	mnuu
鳗	mjay
帑	nunj
糵	npcm
钠	najn
哪	nake
拿	naru
那	nave
南	njug
娘	nlnl
撵	nmfi
农	nsdn
哪	nwke
妞	nqni
佴	ndre
狃	nqqi
呕	oukx
鼙	piuu
冯	pkdm
帡	pkjk
舥	pavb
蒱	pucf
簰	pdvu
嚭	piuk
配	pwyj
爬	pavb
榀	pbmk
泡	pcds
炮	pchs
彭	pgup
澎	pgdp
庞	phgl
螃	phif
啤	piku
脾	piou
僻	piru
坯	pita
屁	piub
皮	pivy
盘	pjvm
瓶	pkbw
萍	pkcp
票	pnxx
葡	pucf
埔	putf
铺	pujf
沛	pwdl
曝	puou
淠	pidl
嫔	pbnb
匏	pcds
咆	pcks
俳	pdrf
郫	pipe
谝	pmyc
钋	pojb
粕	pomb
洴	pkdk
俜	pkrv
汔	qidq
龟	qqdv
恓	qixx
祇	qipu
鹐	qmdn
褰	qmby
槭	qimx
桤	qimj
愀	qnxh
欹	qidr
汋	qtdu
玘	qiwj
汧	qmdk
矼	qlug
佺	qrrw
洓	qidn
啐	qiku
勍	qkwl
埼	qitk
庼	qkgr
嵚	qber
𨱇	qqjq
傕	qtrf
焌	quhw
墘	qmtq
瑔	qrwu
碏	qtuo
觭	qidk
鼩	qujk
祛	qups
亲	qblm
侵	qbry
柒	qidm
漆	qidu
岂	qiej
启	qihk
棋	qimb
骑	qimk
祈	qipj
砌	qiud
气	qipv
欺	qiqr
起	qitj
轻	qkig
浅	qmdj
黔	qmhv
铅	qmjk
窍	qnbv
切	qpqd
秋	qqhh
蚯	qqiq
泉	qrbu
拳	qrju
瘸	qtbr
渠	qudm
驱	qumx
去	quts
屈	quui
勤	qbnl
矜	qbsv
吣	qbkx
蕲	qicj
芑	qicj
蛴	qiil
耆	qilo
憩	qiqx
蹊	qizd
綮	qkhx
黥	qkhx
磬	qkuu
镪	qlji
骞	qmbm
慊	qmxn
慊	qpxn
巯	qqvv
蛆	quiq
璩	quwu
诎	quyi
俟	qiru
𬮿	qiej
𬨂	qiiu
𬒈	qkxu
𬱖	qkyr
纴	rfsr
讱	rfyr
刃	rfdd
任	rfrr
认	rfyr
壤	rhty
染	rjdm
铷	rujk
糅	rzmm
颥	ruyr
𬙋	rhsy
凇	ssds
洓	sedn
𫗧	suuu
凘	sidj
溞	scdi
飔	sijx
穟	svhz
嘶	sikj
咝	siks
司	sivk
讼	ssys
酥	suyh
随	svez
尿	svuu
碎	svuu
遂	svzu
瑟	sewb
厮	siij
锶	sijx
耜	silk
淞	ssds
涑	sudu
觫	sudu
燧	svhz
飕	szjy
铫	tnjd
㛚	tsny
溏	thdk
栝	tmmk
哃	tskk
烶	tkhz
遆	tizj
溚	tadk
忳	tyxt
䗴	tkiz
碳	tjuh
涛	tcdc
讨	tcyc
趟	thtk
贪	tjrr
坦	tjtd
谭	tjyu
听	tkkj
汀	tkdd
恬	tmxk
腆	tmob
眺	tnod
拓	tofu
驼	tomb
椭	tomo
彤	tsdp
铜	tsjk
同	tskk
桐	tsmk
瞳	tsol
图	tukd
土	tuua
途	tuzh
颓	tvhr
蜕	tvie
头	tzdd
涂	tudh
谈	tjyh
溻	tadx
铊	tajb
榻	tamx
遢	tazx
羰	thyh
锑	tijp
嚏	tikr
悌	tixp
醍	tiyr
郯	tjhe
袒	tjpd
覃	tjxu
町	tktd
霆	tkyz
酮	tsyk
恸	tsxl
钍	tujt
煺	tvhz
铽	tejx
铴	thjp
龆	tnvk
酴	tuyh
𬳿	tumh
湜	uidr
筲	ucvo
秫	uuhu
埏	ujtz
鄃	uure
䴓	uian
浉	uidj
祏	uipu
甡	ufuu
埫	uhtk
隃	uued
棽	ufmv
畬	uert
畤	uitc
鼫	uiju
襫	uipb
闪	ujmr
沙	uadu
杉	uamp
稍	ucho
少	ucxp
舌	ueqk
汤	uhdp
深	ufdm
甚	ufqv
什	ufru
鞘	ucgo
伸	ufru
绅	ufsu
慎	ufxb
胂	ufou
牲	ugnu
胜	ugou
圣	ugyt
尚	uhxk
裳	uhxy
事	uial
实	uibd
拾	uifk
驶	uimu
使	uirl
蚀	uiui
市	uiwj
式	uiyg
扇	ujhx
善	ujyk
蟀	ukiu
烁	uohl
输	uuid
竖	uull
数	uumw
暑	uuoo
属	uuuy
书	uuvd
