---config@码表分类=主码-1
---config@码表别名= 符号编码
た	ofrx#序15908
だ	ofrx#序15907
ち	ofrx#序15906
ぢ	ofrx#序15905
っ	ofrx#序15904
つ	ofrx#序15903
づ	ofrx#序15902
て	ofrx#序15901
で	ofrx#序15900
と	ofrx#序15899
ど	ofrx#序15898
な	ofrx#序15897
に	ofrx#序15896
ぬ	ofrx#序15895
ね	ofrx#序15894
の	ofrx#序15893
は	ofrx#序15892
ば	ofrx#序15891
ぱ	ofrx#序15925
ひ	ofrx#序15890
び	ofrx#序15889
ぴ	ofrx#序15888
ふ	ofrx#序15887
ぶ	ofrx#序15886
ぷ	ofrx#序15885
へ	ofrx#序15884
べ	ofrx#序15883
ぺ	ofrx#序15882
ほ	ofrx#序15881
ぼ	ofrx#序15880
ぽ	ofrx#序15879
ま	ofrx#序15878
み	ofrx#序15877
む	ofrx#序15876
め	ofrx#序15875
も	ofrx#序15874
ゃ	ofrx#序15873
や	ofrx#序15872
ゅ	ofrx#序15871
ゆ	ofrx#序15870
ょ	ofrx#序15869
よ	ofrx#序15868
ら	ofrx#序15867
り	ofrx#序15866
る	ofrx#序15865
れ	ofrx#序15864
ろ	ofrx#序15863
ゎ	ofrx#序15862
わ	ofrx#序15861
ゐ	ofrx#序15860
ゑ	ofrx#序15859
を	ofrx#序15858
ん	ofrx#序15857
゛	ofrx#序15856
゜	ofrx#序15855
ゝ	ofrx#序15854
ゞ	ofrx#序15853
§	oftu#序15758
°	oftu#序15762
‰	oftu#序15761
※	oftu#序15745
℃	oftu#序15763
№	oftu#序15757
■	oftu#序15748
□	oftu#序15749
▲	oftu#序15746
△	oftu#序15747
◆	oftu#序15750
◇	oftu#序15751
○	oftu#序15754
◎	oftu#序15752
●	oftu#序15753
★	oftu#序15755
☆	oftu#序15756
♀	oftu#序15759
♂	oftu#序15760
〓	oftu#序15744
＃	oftu#序15743
＆	oftu#序15742
＠	oftu#序15741
＼	oftu#序15740
＾	oftu#序15739
＿	oftu#序15738
￣	oftu#序15737
±	ofux#序15731
×	ofux#序15730
÷	ofux#序15729
∈	ofux#序15728
∏	ofux#序15727
∑	ofux#序15726
∕	ofux#序15725
√	ofux#序15724
∝	ofux#序15723
∞	ofux#序15722
∟	ofux#序15721
∠	ofux#序15720
∣	ofux#序15719
∥	ofux#序15718
∧	ofux#序15717
∨	ofux#序15716
∩	ofux#序15715
∪	ofux#序15714
∫	ofux#序15713
∮	ofux#序15712
∴	ofux#序15711
∵	ofux#序15710
